field,value
report_generated_at,2026-03-31
data_version,v14.0
pilot_id,LPA-07
lpa_name,Leeds City Council
lpa_type,Metropolitan District
cohort,Cohort 2
peer_group,High-growth urban authorities
region,Yorkshire and The Humber
growth_context,High growth urban
constraint_profile,Transport capacity and cross-boundary housing delivery
data_quality_tier,B
coverage_score,82
total_linked_issues,7
high_severity_issues,3
primary_risk_stage,Condition Discharge
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.6
delegated_ratio_proxy,85.3
plan_age_years,6.7
consultation_lag_proxy,4.2
backlog_pressure,46.8
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
