field,value
report_generated_at,2026-03-23
data_version,v6.0
pilot_id,LPA-10
lpa_name,Newcastle City Council
lpa_type,Metropolitan District
cohort,Cohort 2
peer_group,High-growth urban authorities
region,North East
growth_context,Regeneration growth
constraint_profile,Riverside flood risk and heritage city centre
data_quality_tier,B
coverage_score,80
total_linked_issues,6
high_severity_issues,2
primary_risk_stage,Consultation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.5
delegated_ratio_proxy,86.0
plan_age_years,11.0
consultation_lag_proxy,4.5
backlog_pressure,48.2
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
