field,value
report_generated_at,2026-04-14
data_version,v16.0
pilot_id,LPA-33
lpa_name,Bath and North East Somerset Council
lpa_type,Unitary Authority
cohort,Cohort 4
peer_group,Constrained housing-pressure authorities
region,South West
growth_context,High demand constrained
constraint_profile,Heritage conservation area and Green Belt constraint interaction
data_quality_tier,B
coverage_score,79
total_linked_issues,9
high_severity_issues,4
primary_risk_stage,Committee
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,14.4
delegated_ratio_proxy,88.7
plan_age_years,3.2
consultation_lag_proxy,4.6
backlog_pressure,55.6
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
