field,value
report_generated_at,2026-03-31
data_version,v12.0
pilot_id,LPA-12
lpa_name,Northumberland County Council
lpa_type,Unitary Authority
cohort,Cohort 2
peer_group,Mixed and dispersed authorities
region,North East
growth_context,Mixed growth dispersed
constraint_profile,Minerals safeguarding and offshore wind infrastructure pressure
data_quality_tier,B
coverage_score,77
total_linked_issues,6
high_severity_issues,2
primary_risk_stage,Consultation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.4
delegated_ratio_proxy,89.5
plan_age_years,6.7
consultation_lag_proxy,4.5
backlog_pressure,37.5
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
