field,value
report_generated_at,2026-03-31
data_version,v13.0
pilot_id,LPA-25
lpa_name,Nottingham City Council
lpa_type,Unitary Authority
cohort,Cohort 3
peer_group,Regeneration-focused authorities
region,East Midlands
growth_context,Urban renewal
constraint_profile,Heritage sensitivity and transport capacity
data_quality_tier,B
coverage_score,75
total_linked_issues,7
high_severity_issues,3
primary_risk_stage,Legal Agreements
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.7
delegated_ratio_proxy,88.5
plan_age_years,6.2
consultation_lag_proxy,4.0
backlog_pressure,45.6
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
