field,value
report_generated_at,2026-04-14
data_version,v16.0
pilot_id,LPA-08
lpa_name,Bristol City Council
lpa_type,Unitary Authority
cohort,Cohort 2
peer_group,High-growth urban authorities
region,South West
growth_context,High growth urban
constraint_profile,Flood risk and harbour/waterfront regeneration complexity
data_quality_tier,B
coverage_score,79
total_linked_issues,8
high_severity_issues,3
primary_risk_stage,Validation
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,13.7
delegated_ratio_proxy,88.1
plan_age_years,11.0
consultation_lag_proxy,3.7
backlog_pressure,65.2
analytical_confidence,medium
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
